,title,category
39, 단독  삼성증권이 쏘아올린 IRP 수수료  원  전쟁 은행권 가입자  반토막 ,Economic
40,출시 석달만에  천억 몰린 중개형 ISA 실익은  그닥  왜 ,Economic
41,직방의  한방 안전보장  투명거래로  허 를 찌르다,Economic
42, 억 로또  원베일리 역대급 청약경쟁 예고,Economic
43,아파트 이름에  OO역  붙이니  순위 청약 마감률  쑥 ,Economic
44,김치 넣은 K 푸드 세계인 입맛 공략,Economic
45,카카오  네이버 넘고 시총  위 등극  인터넷주 전성시대  활짝 ,Economic
46,중복청약 막차 탄 크래프톤 역대 최고 공모가 기대도 ,Economic
47,SK에너지  직영주유소  곳 매각 억 현금화,Economic
48, 대책없는 개발 즉각 중단하라   기 신도시 원주민들도 반발,Economic
49, 만가구 전기료  원 올라 물가 걱정  정부  제동 걸까  월부터 전기요금 할인 축소 ,Economic
50,에이리츠 올해만   상승  인플레시대엔 리츠가 대세  스무살 리츠 날개 편다 ,Economic
51,진격의 카카오  시총  조  빅  등극  네이버보다 몸집 커졌다,Economic
52,크래프톤   중복청약 막차  탄다 역대 최대 증거금 넘어설까,Economic
53,HMM 매각설에 위축되는 해양진흥공사,Economic
54,사회적합의 재개 분류 배제시점 임금보전 막판조율,Economic
55,  작전 하듯 반도체 배터리 두뇌 빼가  전세계   테크인력  쟁탈전,Economic
56, 영상  오세훈 노형욱 손 잡았다  알고 보니  동상이몽 ,Economic
57,쌍용차  첫 전기차 생산 시작  신차 개발도 재점화,Economic
58,철광석 t당  달러 다시 돌파  철강재 가격 추가 인상 예고,Economic
59,신차 효과  톡톡  국산차는 현대차 기아 독무대,Economic
60, CEO워치 물러나는 박찬구  확 바뀌는 금호석화,Economic
61,창호가격  월부터   올라  건자재값 줄인상 도화선 되나,Economic
62,글로벌 인재전쟁  한국이 안 보인다,Economic
63, 상경투쟁  택배노조  명 몰렸다 오뚜기 GS  등 발동동,Economic
64, 반도체 쇼티지  여파  현대차 기아  생산차질  만대 넘었다,Economic
65,권혁홍 대양그룹 회장 골판지 외길 로  년 장수기업 일구다,Economic
66,산은도  계속 도울것  응원 두산  가스 풍력터빈에 승부수,Economic
67, 산업연합회  반도체대란에  시간제  한시적 완화 건의,Economic
68,차 정유화학 유통 급성장 실적 모멘텀은  피크아웃 ,Economic
69,쌍방울  이스타항공  홀로 탑승 성정과  쩐의 전쟁 ,Economic
70,AI 스타트업 총출동하자 장외시장  은둔 고수  떴다,Economic
71, 하반기 다시 성장  시간 올 것 반도체 전기차가 상승 이끈다 ,Economic
72,은행은 외면했는데 틈새 파고든 네이버  반 년 만에  억 ,Economic
73,금통위  매파  떴다 연내 금리 인상 초읽기,Economic
74,삼성D 노조   일 쟁의위 출범 예고 삼성 사상 첫 파업 돌입하나,Economic
75, IPO 대어  크래프톤  공모주 중복청약 막차 탄다,Economic
76,에르메스 루이비통 샤넬 두얼굴 선 없다더니  엔 버젓이,Economic
77, 코로나 종식 최대 수혜주는 나  올들어   급등했다,Economic
78,수상한 부동산거래  데이터로 잡아낸다,Economic
79, 주가 더 오른다 고수 들이 입모아 추천하는 종목,Economic
80,모두의 고민이 된 상속 증여 김앤장 변호사들이 풀어준다,Economic
81,카카오 제 국민주로 떴다 액면분할 자회사 상장 훈풍,Economic
82, 오피스텔 레지던스 등  대안주거  활성화 필요 ,Economic
83,동학개미가 찔끔찔끔 올렸다 코스피 또 사상최고치,Economic
84,가열되는 베트남 산업용 부동산 시장  베트남 투자가이드 ,Economic
85, 억써야 에르메스 버킨백 기회준다 명품큰손 한국 길들이는 에루샤,Economic
86,샤넬백 사러 제주 원정쇼핑 혹시나 했는데 역시나  허탕,Economic
87,아파트 가장 비싼  은 반포 당 평균 매매가  만원,Economic
88,코스피 이틀 연속 최고치 경신 FOMC 회의에 주목 ,Economic
89,강남 서초 내달까지  가구  입주 풍년 ,Economic
90,불붙은 신선식품 새벽배송 뒤에서 미소 짓는 태경케미컬,Economic
91,이경수 메리츠증권 리서치센터장  하반기 증시 반등 시동 성장주 대형주의 시대 온다 ,Economic
92,LG화학  신규 NCC 가동 에틸렌    만톤 만든다,Economic
93, 시그널  크래프톤  공모가  만원 사상최고   기업가치  조 ,Economic
94, 오늘이 가장 싼 주식  카카오 네이버 제치고  시총  위   박해린의 뉴스 마켓 ,Economic
95,HMM  산은 CB 전환 소식에   급락,Economic
96,월급 밀려 카드빚 당겨썼던 직원들  역대급  잭팟  눈앞,Economic
97, GTX D노선 원안대로  강동 하남 가세,Economic
98,차세대 갤럭시Z 곧 나온다는데  폴더블 부품  다시 뜰까,Economic
99,일주일 새   뛴 쌍방울 이스타 인수 자신있다   박해린의 뉴스 마켓 ,Economic
100, 국산명품은 안 사요 코로나  종식 때는  에루샤 만큼 뜬다   이지효의 플러스 PICK ,Economic
101, 최대 연   대부업 뺨치는 카드 리볼빙 수수료,Economic
102, 기 신도시 토지주들  LH 혁신방안 거부 추가보상 요구,Economic
103,광복절부터 대체공휴일 된다는데 결국 공무원만 좋은 일   이지효의 플러스 PICK ,Economic
104,BTS가 효자노릇  톡톡 하이브 주가  시총  조 돌파,Economic
105, 단독  VI금융투자 J트러스트  JT캐피탈 매각 대금 납일 일정 연기 논의,Economic
106, 출근할 바엔 사표 쓸게요 이직 자신감 넘치는 미국인  이유는   이지효의 플러스 PICK ,Economic
107, 의사 변호사 안 부러웠는데  펀드매니저  처참한 상황 ,Economic
108, 매일신문X화성산업 부동산토크쇼 실거주 목적이라면 지금 집 사도 좋아 ,Economic
109,회생길 열린 이스타 LCC 재편 앞당기나,Economic
110, 전기 들어오는데  년 포장만 화려한  K 프로젝트   이슈플러스 ,Economic
111,도지 AMC  떴다  하면 대박 유행이 돈 되는  밈 이코노미 ,Economic
112,기업이 마주한 딜레마  규제   이슈플러스 ,Economic
113,이재명  만원  조정훈  만원 표심흔드는 달콤한 유혹 기본소득  문제는 돈,Economic
114,세번째 mRNA 백신  큐어백  한국서 생산되나,Economic
115,카카오  네이버 제치고 시총  위 IT 대장주 등극 종합 ,Economic
116,일동제약 파멥신   잭팟  터지나 기술수출 잰걸음,Economic
117,코인 솎아내기 본격화 도미노 상폐 우려에  기준 모호 ,Economic
118, 조 잡자  네이버 등판에 금융업계  큰일났다  초긴장,Economic
119,ESG경영 로드맵 짜는 삼성 SK바이오 에이치엘비  독보적 ESG 신경영 ,Economic
120, 얀센접종 후 사망   대 부검 당국  기저질환  유족  지병 완치 ,Economic
121,대형주   오를 때   뛴 중형주  펀드 수익률도  쑥쑥 ,Economic
122,기술 의 귀환 BBIG 아크ETF 강세,Economic
123,우본  소포 분류비용 지급했다 민간과 근무 여건 달라 ,Economic
124, 시그널  반도체 전문 심사역이  픽 한 VSI 억 투자 유치,Economic
125, 위    위  장매튜하돈 페퍼저축  대표  서민금융 승부사들 ,Economic
126, 최저임금  만원 이상  vs  일자리  만개 줄 것 ,Economic
127, 미국동맹 중국무역 앞으로도 둘 다 계속할 수 있을까 ,Economic
128,B마트  GS리테일 손잡고 영토 넓힌다,Economic
129,테크핀의 공습 대출시장 빅뱅,Economic
130,금호타이어  조  투자 한다는데 광주시 vs 함평군  기싸움 ,Economic
131,펀드업계 고수  ESG로 맞붙는다 자금확보 총력전,Economic
132,찬바람 불면 늦으리 인플레 우려 속  배당주  뜬다,Economic
133,주거용 부동산 높은 진입장벽에  비주거용 부동산  인기,Economic
134,정용진  와인 핥아 마셨음 새벽  시 음주 SNS 돌연 삭제,Economic
135, 단독  TPG   건기식 강자  헬스밸런스 판다,Economic
136,성장주 꿈틀에 코스피 이틀 연속 최고치 경신,Economic
137, 단독   사모펀드  토스에  억 원 투자 기업가치는  조원,Economic
138, 대폭 인상  vs  소상공인 부담  내년 최저임금 놓고 노동계 경영계 입장차 커,Economic
139, 구매처 개발비  두둑히 확보한 SK바사 코로나  백신  리스크  ,Economic
140, 왕십리 GTX 안돼  현수막 내건 청량리 집값 앞에 주민들 갈라섰다,Economic
141,한국 집값 거품 순위  위 위는 뉴질랜드,Economic
142,저축  자산 사상 첫  조 돌파,Economic
143,여름철 별미로 즐겨 먹었는데 물냉면이 아니라  냉면 ,Economic
144,맥쿼리인프라  해양에너지 서라벌도시가스 지분   인수 종합 ,Economic
145,전문가  노바백스 임상 결과에  보관 접종 편리해 하반기 국내 주력 백신될 것 ,Economic
146,노사 견해차 뚜렷   진통 예고한 최저임금위,Economic
147,숨가쁘게 오르더니 카카오   년만에 네이버 제쳤다,Economic
148,못생긴 신발로 대박 난  크록스  주가  년 새   올랐다,Economic
149, 한경 코알라   년차 비트코인  무엇을 말하고 보여주는가,Economic
150,부산 학교 주변 곳곳 재개발사업 학생 안전 위협  학습권 침해,Economic
151, 월부터 전기요금 할인 축소 만 가구  천 원 더 낸다,Economic
152, 곡 좀 쓸수 있을까요   꺼지세요  핑크플로이드에 망신당한 페북 CEO,Economic
153, 년 숙원 푼 도봉구 창동 민자역사 호재에 재건축  들썩 ,Economic
154,서울 여수 양양에서 숙박업 가능한 생활형숙박시설 분양,Economic
155,쌍용차  첫 전기차  코란도 이모션  생산 월 유럽 출시,Economic
156, 양송이 피자엔 꿀  호텔 뷔페에 해설  등장,Economic
157, 생생경제 우정사업본부 번복에 타 택배업체로 영향  정부 뭐하고 있나,Economic
158, 강북만 더 죽으란 소리냐 재개발 조합원 양도금지에 양극화 심화되나,Economic
159, 주택 부족하다며 레지던스 주거기능 왜 막나 ,Economic
160, 탄소 포집 기술 잡아라  정부 매년  억 투입 세제혜택,Economic
161,  인력난 해결사  탤런트뱅크 뜬다,Economic
162, 초점  식품업계  분야별  위 릴레이 가격인상 후발업체 도미노 오나,Economic
163, 내년에  달러 유가 기름 붓는 바이든 친환경 에너지 정책,Economic
164, 비용  분의  로 줄인 진공 증착 기술 마이크로 LED TV 생산에 사용될 것 ,Economic
165, 주  일에 월  만원 부업으로 시작해 전업 많이 한다 ,Economic
166, 박 일 상경투쟁 택배노조  노동자 죽이는 분류작업 끝장 ,Economic
167,모건스탠리 CEO  외식하는데 왜 사무실 못 나오나 ,Economic
168,GTX D 손잡은 강동구 하남시   일 국회 앞에서  원안사수  촉구,Economic
169,정부  잇단 부동산 거품론 경고 무색 주택매수심리  확산 ,Economic
170, 월 입주 단지 쏟아진다 검단  용인 등 수도권 입주물량도 많아,Economic
171,도크마다 LNG선 꽉찼다 삼성중공업 조선소 가보니,Economic
172,삼성  고성능D램 낸드  칩 양산 중저가  G 스마트폰 시대 성큼,Economic
173,하나금융  주주명부 폐쇄 공시 중간배당 여부  월말 결정 ,Economic
174,증권사 해외법인 대출 허용 해외사업 판 커지나,Economic
175,  주요 경제 지표 발표 앞두고 경계했지만 코스피 최고치 경신하며 장 마감,Economic
176,코로나    기업부채  조달러,Economic
177,주식 팔라는  월 버텨 월부터는 상승장   월 코스피 전망,Economic
178, 바이오 업 다운  대웅제약  실적 기대와 보톡스 소송 우려 공존,Economic
179,  소비자 기대 인플레  년  최고 고민 깊어지는 파월,Economic
180,매파 비둘기파 금통위원 격론 금리여력 확보해야  VS  경기확장에 찬물 ,Economic
181,한국선 구경도 못하는데 샤넬 진열대엔  신상  빼곡 직원들  바로 구매 가능합니다 ,Economic
182, ESG 열풍  타고  첫  여성 사외이사 바람 구색 맞추기  지적도,Economic
183, 롤렉스 있나요   VIP 아니면 나가세요 미국 매장서  마상  입은 까닭,Economic
184,이자 꿈틀  주택구입 부담  최고 공급 금리  년 전망 보고 사라 ,Economic
185, 비디오머그  학생 수 단 한 명  고파도 섬 아라의 일기  섬 마을 사람들의 슬기로운 코로나  나기 ,Economic
186,올릴까 말까  선거 앞 고무줄 된 전기료  한전 부담만 커진다,Economic
187,접종  만명 돌파 세 이상  효과 있다 ,Economic
188,LCD 고공행진 지속 생산 연장하는 삼성 LGD,Economic
189,중국  수출중심지 광둥성 코로나  몸살 글로벌 물류 비용 더 오르나,Economic
190, 택배노조 파업   일주일 넘게 물건 못 받았어요  애꿎은 소비자 영세업자만 피해,Economic
191, 택배노조 파업  배송지연 공지 띄웠지만 유통업계 대안없어  발동동 ,Economic
192, 리츠  연  대 배당에 주가 상승 매력 있네 ,Economic
193,미풍서 태풍으로 번질라 택배노조 파업 장기화 분수령,Economic
194,삼성전자    보다폰에  G 장비 공급 유럽 첫 진출,Economic
195, 오늘이 가장 싼 주식  카카오  네이버 제치고 시가총액  위,Economic
196, 한 사람을 피하면 다른 사람을 치게 된다  자율주행 AI는 어떤 판단을 할까,Economic
197,코로나 백신 확대 해외여행 활성화 기대감 생활형숙박시설 분양 봇물,Economic
198, 클릭  해외증시 이 종목    크라우드스트라이크 한달새    쑥 ,Economic
199,매 네 마리 날개 폈다 금통위원들도 연내  기준금리 인상  시사 상보 ,Economic
200,두 손 놓고  테슬라 자율주행차  타다 사망  제조사 운전자 중 누구 책임 ,Economic
201,코스피  또 역대 최고치 개인 이틀간  억 순매수,Economic
202,뜨거운  BTS 효과 하이브 시총  조 돌파,Economic
203,수출  위 달리던 구미  아산에 추월당한 뒤 갈수록 격차 커져,Economic
204,롯데리아 감자튀김 실종에 소환된 맥도날드  BTS세트 ,Economic
205,결국 네이버 제친 카카오 김범수 자산 넉달새  조 조,Economic
206,쌍방울그룹  이스타항공 인수 자신있다 ,Economic
207, 업무 효율성 극대화 LG디스플레이도 자율좌석제 도입,Economic
208,우체국 위탁 기사들이 파업 주도   택배 대란  불보듯,Economic
209,내년도 최저임금  업종별 차등적용  vs  대폭 인상해야 ,Economic
210,값싼 전기 만들던 원전 줄이더니 정부  인플레 우려에  전기요금 딜레마 ,Economic
211,중진공  부채  조 부채비율  그래도 연봉 복리후생비 크게 늘려,Economic
212, 통화정책 조정 고려할 시점 금통위  매파 의 향기 더 짙어졌다,Economic
213,금통위원 다수  금리 정상화  지나치게 미뤄져서는 안돼 ,Economic
214,하반기 주가 상승 기대되는  가지 업종 꼽아보니,Economic
215,예금금리 연동한 주담대 이자는 내림세  채권금리 연동은 상승세,Economic
216,주거용 부동산  경쟁률에  비주거용 부동산  반사이익,Economic
217, 페이코인 에 널뛰기 하는 다날   본업에는 문제 없어 ,Economic
218,박찬구  금호석유화학 대표직 사임  백종훈 단독 대표 체제,Economic
219, 로또청약  원베일리  분양가  만 있으면 살 수 있다  부동산 ,Economic
220,보름 빨리  만명 접종 돌파 월 집단면역  청신호 종합 ,Economic
221, BTS세트  탓에 롯데리아 감자튀김 없다  알고보니 ,Economic
222,민주당  씨티은행 방문 유명순  고용안정 우선 종합 ,Economic
223,알아서 기어 변속 신기술 적용된 기아  더 뉴 K  가격은 ,Economic
224,큰 폭 상승 비트코인  만원대 이더리움  만원 회복 인더머니 ,Economic
225, 시그널  큐라클 다음달 IPO 공모 기업가치  억 제시,Economic
226, 잡코인  시장 퇴출 러시 개미  패닉  당국  상장폐지 관리할 것 ,Economic
227,공공재개발 아파트 분양받으면  년간 의무 거주,Economic
228,코스피  이틀 연속 최고치 경신 카카오  네이버 제치고  시총  위 ,Economic
229,공모주 중복 청약   일부터 금지 투자자 눈치작전 치열,Economic
230,WHO  G  약속한 백신 지원 역부족 ,Economic
231,자율주행 자동차사고   운전자 대 제조사 누구 책임일까 ,Economic
232,조직개편 통과 오세훈표 스피드 주택공급 속도 낸다,Economic
233, 분석  은행주  강세 배당제한 해제되면 중간배당 할까,Economic
234,비트코인  만달러 회복 친환경 코인  될까,Economic
235, 월 신규 코픽스 제자리 주담대 금리 현 수준 그대로,Economic
236,비규제지역 아파트  서산 대산지구 한성필하우스  회사보유분 특별분양,Economic
237, 월 금통위 의사록  금리인상 발언 강화  통화정책 정상화 고려할 시점 ,Economic
238,나주시  SRF 열병합 발전소 가동 중단 재차 촉구,Economic
239,백신  차 접종  만명 넘었다  백신 공급도 이어져  종합 ,Economic
240, 단독  벤츠코리아   시동 결함  차량 전량 무상수리 결정,Economic
241,현대ENG   월 중  힐스테이트 용인고진역  분양,Economic
242, 만가구 할인혜택 축소 월부터 전기요금 더 낸다,Economic
243,덩치 커진 ETF  이젠 시장을 뒤흔든다,Economic
244,플랫폼부터 신용평가까지 카드업계  개인사업자 서비스 봇물 종합 ,Economic
245,여행업계   자유여행 에 올인 전망은  물음표 ,Economic
246,주춤한  흠슬라  산은 CB 주식전환 계획에 하락,Economic
247, 마켓인 큐라클  증권신고서 제출   월 청약 실시,Economic
248, 년만에 개편 앞둔  소비자물가 대표 품목 마스크 포함될 듯,Economic
249, 정용진 vs 신동빈  이베이코리아 인수전 운명의 날 누가 웃을까,Economic
250,은행 변동형 주담대 금리  당분간 변동 최저  ,Economic
251, 역전 드라마  카카오  플랫폼 대장   우뚝 네이버 제쳤다 종합 ,Economic
252, 월부터 전기 적게 쓰는 집  전기료 오른다 할인혜택 줄어,Economic
253,계속되는  반도체 품귀 출고지연에 발  동동 ,Economic
254,최근  년간  역  이름 들어간 아파트   순위 마감률   넘어,Economic
255, 억 CB 발행말라  바이오 소액주주 반발 계획 취소 ,Economic
256,반도체 공급 부족 불똥 삼성전자  갤S FE 출시 연기하나,Economic
257,업비트   잡코인  정리작업  이제 시작이다 ,Economic
258, 전세 놓아 잔금 치를 수 있다  들썩이는 반포 래미안 원베일리,Economic
259,독도 방어훈련 소식에  욱 한 일본  극히 유감 ,Economic
260, 년 만에  대장주  탈환 카카오 주가 더 간다 ,Economic
261,코스피  이틀 연속 최고치 경신 반도체 강세 종합 ,Economic
262,광주붕괴사고  철거계획서부터 잘못 됐다,Economic
263, 증시 이슈  SM  NCT 급성장 공연재개 기대 힘입어   상승 마감,Economic
264,MG손보  건전성 위기에  억 유상증자,Economic
265, 건보공 사태 로 또 불붙은 정규직화 논란과 불편한 시선,Economic
266, 정 기자의 직장맘 백과사전  출산전후휴가   인 이상 사업장에서만 사용할 수 있다 ,Economic
267,주식투자자  만 시대에 투자의 맥을 짚는 맥머니   일 그랜드 오픈 ,Economic
268,경기도  신축 아파트 주차장 높이  로 택배차량 진입하게 ,Economic
269,마켓컬리 쿠팡 새벽배송 경쟁에 뒤에서 조용히 웃는 회사,Economic
270,온코젠  차세대  표적단백질 분해약물  혁신신약 연구개발 돌입,Economic
271,코로나 백신 접종  만명 돌파 치료제도 변신 꾀한다,Economic
272, 일간  조 늘었다 카카오  네이버 제치고  왕좌 ,Economic
273,물걸레 청소 반려동물 관리까지 커지는 로봇청소기 시장,Economic
274,서울시 조직개편 통과 오세훈표 부동산 정책  시동 ,Economic
275,LH 하반기 분양주택  만 가구 공급  수도권에   이상,Economic
276,첨단 의료 바이오 R D 허브 생긴다 청라의료복합타운  구축 시동,Economic
277,부산  평지 브랜드 대단지  아파트에 청약 쏠림현상,Economic
278,카카오 시가총액 첫  위 년 만에 네이버 추월,Economic
279,공직퇴임관세사   근무한 곳  수임 제한 일부 직무는 제외,Economic
280, 증시신상품  한 미 인플레이션 국채지수 추종 ETN,Economic
281, BTS 효과  하이브 주가  만원 가나 시총  조 돌파 종합 ,Economic
282, 마켓뷰  코스피   하루 만에 또 최고치 경신 카카오 시총  위 올라,Economic
283,고소득  인 가구 늘어나자  럭셔리 대형주택  공식 깨졌다,Economic
284, 상장 임박  카카오페이  우리사주조합 설립 완료,Economic
285,거래절벽보다 무서운 재초환 그들이 추진위 미루는 이유,Economic
286, 월부터  만 가구 전기요금  원 인상 올 폭염에 요금부담 ,Economic
287,원 달러 환율   원 올라  FOMC 대기에 박스권,Economic
288,포스트 코로나 기대감 솔솔 생활형숙박시설 관심 늘어,Economic
289, 억 줄테니 회사 팔텐가 여개 스타트업에 물었더니,Economic
290,K푸드에 빠진 베트남 이마트 PB 노브랜드  베트남 간다,Economic
291,삼성디스플레이 이르면 내주 초 파업 돌입 협정근로자 명단 수령 ,Economic
292,택배비 올랐는데 노조 파업 이어지는 이유는 ,Economic
293,카카오 첫 시총  위 마감 년만에 네이버 추월 종합 ,Economic
294,현대차  코로나로 중단한 중간배당 재개한다,Economic
295, 단독 안전진단 신청 보류 상계동 재건축 올스톱 ,Economic
296,사업 경계선 된 안전진단  통과해도 못 해도 걱정,Economic
297, 달러 돌파  유가  더 가나 멈추나 정유 항공 석화 조선업계  촉각 ,Economic
298,정부  해상풍력 확대에  힘  준다 REC 가중치 최대   이상 상향 검토,Economic
299, 대어 피해라 IPO 기업 청약일정  눈치싸움 ,Economic
300,철강업계  내진용 고강도 철근 공동 개발,Economic
301, 시그널  신세계 손잡은 네이버  이베이 인수에   참여,Economic
302,사라지는 공모주 중복청약 건만 신청하세요,Economic
303,코스피  이틀 연속 최고치 경신 카카오 시총  위  우뚝 ,Economic
304, 월 신규 취급액 코픽스 보합 잔액 기준은 하락 종합 ,Economic
305, EU  보잉 에어버스  년 무역분쟁 끝낸다 우리끼리 싸울때 아냐 ,Economic
306,아이와 노인 중  명만 살릴 수 있다면 자율주행차의 선택은,Economic
307,시들해진 공모주 투자 크래프톤이 불씨 되살릴까,Economic
308, 월 코픽스 금리  전월 수준 유지 최저  종합 ,Economic
309, 집중진단  이스타 부채만 약  천억 수준 쌍방울 성정 자금력 주목,Economic
310,코스피  이틀 연속 사상 최고치 경신 개인  천억 순매수 종합 ,Economic
311, 집중진단  이스타 새 주인은 누가 될까 단독 입찰 소식에 쌍방울 주가  ,Economic
312,매물 VR로 보고 비대면 중개한다 직방  이제는  프롭테크 ,Economic
313,대규모 업무지구 품은 직주근접 오피스텔 분양  ,Economic
314,롯데카드 체질바꾼 조좌진  우량고객 집중 전략 빛봤다,Economic
315,전국 아파트  당 분양가  만원 전월   ,Economic
316,은행 변동형 주담대 금리  전월과 비슷한 수준 이어간다,Economic
317, 네이버  비켜  카카오  코스피 시총  위 등극,Economic
318,주담대 금리 기준 코픽스  전달과 동일,Economic
319,현대 대우조선 기업결합  선박 공급시장서 독점강화 ,Economic
320,디지털 헬스케어 해외진출 띄운 신한라이프  생보 빅  넘본다,Economic
321, 코스닥 마감  천스닥 앞두고 나흘만에 하락 선,Economic
322, 외환마감 환율  FOMC 앞둔 경계감에 강보합 코스피는 사상 최고치 ,Economic
323, 핫스탁 SK이노베이션 HMM 비상교육 종합 ,Economic
324,백신 접종  만명 달성 명 명 명 거리두기 단계별 완화,Economic
325,래미안 원베일리  무더기 만점통장 나오나,Economic
326, 코로나 이후 도심 거주 수요 증가 제도 개선 필요 ,Economic
327,코스피 하루만에 또 최고치 경신,Economic
328,이베이 인수전  일 윤곽 롯데 신세계  승자는 ,Economic
329,지아이이노베이션  면역항암제   FDA 임상  상 승인,Economic
330,산업단지 개발 및 교통망 개선  서산 대산 한성필하우스 특별분양,Economic
331, 월 DSR 앞두고 은행권  대출 옥죄기 확대,Economic
332,맥도날드  BTS세트  인기 탓 롯데리아 감자튀김 품절,Economic
333,공공재개발  입주 때부터 무조건  년 거주해야,Economic
334, 청년 도심 거주 늘리려면  대안주거  옭맨 규제 개선해야 ,Economic
335,코로나  백신  차 접종자   만명 넘었다  접종률  ,Economic
336, 초점  껌 곰 속옷 이어 뭐가 더 나올까 편의점 이색맥주 전성시대,Economic
337, 일부터 공모주 중복 청약 금지 크래프톤 적용될지 촉각,Economic
338,신약개발 회사 큐라클  증권신고서 제출 IPO 돌입 ,Economic
339,코스피  개미 순매수 힘입어 이틀 연속 최고치 경신 ,Economic
340,이스타항공 새주인 가시화 재도약은 언제쯤,Economic
341, 반도체 보릿고개 지속 현대차 기아 전망은 ,Economic
342,코스피  이틀 연속 종가 최고치 경신 ,Economic
343, 친환경 정책이 보약 귀뚜라미  보일러 체질개선 통했다,Economic
344,정동진 최적의 입지에 위치한  정동진 솔라뷰  주목 만명의 검증된 수요,Economic
345,이틀째  명대 세 이상 접종  효과 있다 ,Economic
346, 가계대출 기준금리  코픽스   월 기존 잔액기준  하락 ,Economic
347,원 달러 환율 강보합 마감 FOMC 앞두고 관망,Economic
348,하반기 공모주 붐 일으킬 대어는 ,Economic
349, 집 인데  주택  아닌  대안주거 역할 인정하고 키워야 ,Economic
350,HMM  메일 바이러스 공격받아 서비스 복구 중 ,Economic
351,  이어 유럽도 뚫었다 삼성    보다폰에  G 장비 공급,Economic
352, 월 신규 코픽스   제자리 주담대 금리 변동 없을 듯,Economic
353, 수소 섞어 태우면 탄소 덜나와 서부발전의 탄소중립 도전,Economic
354,도심 살고 싶고 아파트는 어렵고 대안주거 늘려야 ,Economic
355,코스피    FOMC 앞둔 관망 심리에도  선으로 이틀 연속 최고치,Economic
356,공공재개발 아파트  년간 실거주해야,Economic
357,서울반도체   서 와이캅 기술 특허침해 소송 승소,Economic
358,합병 추진하는 세중 관리종목 해소되나,Economic
359,국토연구원  주택 소비심리  개월만에 반등   부동산 ,Economic
